# Time	Cd	Cl	Cm
0.445	0.0135356	0.332029	-0.00325489
0.446	0.0131312	0.330191	-0.00384497
0.447	0.0126908	0.327915	-0.00446131
0.448	0.0122317	0.325276	-0.00504447
0.449	0.0117425	0.322395	-0.00557535
0.45	0.0112141	0.319105	-0.00614953
0.451	0.0106647	0.315544	-0.00670933
0.452	0.0100986	0.311599	-0.00728579
0.453	0.00951787	0.307274	-0.00786195
0.454	0.00891994	0.302618	-0.00840134
0.455	0.00830424	0.29762	-0.00887447
0.456	0.0076725	0.292247	-0.00925902
0.457	0.00702205	0.286375	-0.00960009
0.458	0.0063496	0.28005	-0.0097756
0.459	0.00567537	0.273171	-0.00991284
0.46	0.00496702	0.265434	-0.0100833
0.461	0.00426711	0.257246	-0.0103403
0.462	0.00356146	0.248527	-0.0106519
0.463	0.00287402	0.239304	-0.0108569
0.464	0.00220786	0.229349	-0.0109533
